word_id,word_form
агрессия,агрессия
агрессия,агрессии
агрессия,агрессий
агрессия,агрессиям
агрессия,агрессию
агрессия,агрессией
агрессия,агрессиями
агрессия,агрессиях
атака,атака
атака,атаки
атака,атак
атака,атаке
атака,атакам
атака,атаку
атака,атакой
атака,атакою
атака,атаками
атака,атаках
блокада,блокада
блокада,блокады
блокада,блокад
блокада,блокаде
блокада,блокадам
блокада,блокаду
блокада,блокадой
блокада,блокадою
блокада,блокадами
блокада,блокадах
внешнее воздействие,внешнее воздействие
внешнее воздействие,внешние воздействия
внешнее воздействие,внешнего воздействия
внешнее воздействие,внешних воздействий
внешнее воздействие,внешнему воздействию
внешнее воздействие,внешним воздействиям
внешнее воздействие,внешним воздействием
внешнее воздействие,внешними воздействиями
внешнее воздействие,внешнем воздействии
внешнее воздействие,внешних воздействиях
война,война
война,войны
война,войн
война,войне
война,войнам
война,войну
война,войной
война,войною
война,войнами
война,войнах
запад,запад
запад,запада
запад,западу
запад,западом
запад,западе
защитить,защитил
защитить,защитила
защитить,защитили
защитить,защищу
защитить,защитишь
защитить,защитит
защитить,защитим
защитить,защитите
защитить,защитят
защитить,защити
защитить,защитивший
защитить,защищённый
защитить,защитив
информационное влияние,информационное влияние
информационное влияние,информационные влияния
информационное влияние,информационного влияния
информационное влияние,информационных влияний
информационное влияние,информационному влиянию
информационное влияние,информационным влияниям
информационное влияние,информационным влиянием
информационное влияние,информационными влияниями
информационное влияние,информационном влиянии
информационное влияние,информационных влияниях
конфликт,конфликт
конфликт,конфликты
конфликт,конфликта
конфликт,конфликтов
конфликт,конфликту
конфликт,конфликтам
конфликт,конфликтом
конфликт,конфликтами
конфликт,конфликте
конфликт,конфликтах
манипуляция,манипуляция
манипуляция,манипуляции
манипуляция,манипуляций
манипуляция,манипуляциям
манипуляция,манипуляцию
манипуляция,манипуляцией
манипуляция,манипуляциями
манипуляция,манипуляциях
нападки,нападки
нападки,нападок
нападки,нападкам
нападки,нападками
нападки,нападках
остановить,остановил
остановить,остановила
остановить,остановили
остановить,остановлю
остановить,остановишь
остановить,остановит
остановить,остановим
остановить,остановите
остановить,остановят
остановить,останови
остановить,остановивший
остановить,остановленный
остановить,остановив
предотвратить,предотвратил
предотвратить,предотвратила
предотвратить,предотвратили
предотвратить,предотвращу
предотвратить,предотвратишь
предотвратить,предотвратит
предотвратить,предотвратим
предотвратить,предотвратите
предотвратить,предотвратят
предотвратить,предотврати
предотвратить,предотвративший
предотвратить,предотвращённый
предотвратить,предотвратив
провокация,провокация
провокация,провокации
провокация,провокаций
провокация,провокациям
провокация,провокацию
провокация,провокацией
провокация,провокациями
провокация,провокациях
радикализация,радикализация
радикализация,радикализации
радикализация,радикализаций
радикализация,радикализациям
радикализация,радикализацию
радикализация,радикализацией
радикализация,радикализациями
радикализация,радикализациях
разрушение,разрушение
разрушение,разрушения
разрушение,разрушений
разрушение,разрушению
разрушение,разрушениям
разрушение,разрушением
разрушение,разрушениями
разрушение,разрушении
разрушение,разрушениях
саботаж,саботаж
саботаж,саботажи
саботаж,саботажа
саботаж,саботажей
саботаж,саботажу
саботаж,саботажам
саботаж,саботажем
саботаж,саботажами
саботаж,саботаже
саботаж,саботажах
смерть,смерть
смерть,смерти
смерть,смертей
смерть,смертям
смерть,смертью
смерть,смертями
смерть,смертях
угроза,угроза
угроза,угрозы
угроза,угроз
угроза,угрозе
угроза,угрозам
угроза,угрозу
угроза,угрозой
угроза,угрозою
угроза,угрозами
угроза,угрозах
эскалация,эскалация
эскалация,эскалации
эскалация,эскалацию
эскалация,эскалацией
